City,Address,Area(In Sq.Feet),Price(Float),Bedroom,Bathroom,Road,Face,Parking,Floors
 Kathmandu, Nagarjun,2481.3125,39875000.0,0,4,0.0,North East,2,3.0
 Kathmandu, Chappal Karkhana,1026.75,35000000.0,4,4,16.0,South,1,
 Kathmandu, Budhanilkantha,1026.75,22500000.0,4,3,13.0,South,1,2.0
 Kathmandu, Budhanilkantha,1197.875,27500000.0,3,0,13.0,South East,2,
 Lalitpur, Jhamsikhel,1026.75,41000000.0,6,5,13.0,South East,2,3.0
 Kathmandu, Kapan,941.1875,24500000.0,6,2,24.0,South,0,2.0
 Kathmandu, Jorpati,1796.8125,28500000.0,5,2,12.0,South,1,2.0
 Kathmandu, Budhanilkantha,2139.0625,55000000.0,5,4,0.0,North East,2,
 Kathmandu, Sanobharyang,855.625,17000000.0,7,2,16.0,West,0,
 Kathmandu, Sanobharyang,2909.125,85000000.0,9,5,13.0,West,3,
 Kathmandu, Samakhusi,5476.0,160000000.0,9,4,20.0,West,10,
 Bhaktapur, Dadikot,1796.8125,15000000.0,2,2,4.0,West,1,2.0
 Lalitpur, Lubhu,1240.65625,31000000.0,3,3,13.0,East,1,
 Bhaktapur, Balkot,3080.25,52500000.0,5,5,26.0,North,2,2.5
 Kathmandu, Budhanilkantha,8128.4375,49500000.0,5,5,15.0,South,2,2.5
 Kathmandu, Sorakhutte,3764.75,71500000.0,0,0,20.0,East,0,6.0
 Kathmandu, Manamaiju,1369.0,29900000.0,4,4,20.0,West,1,
 Lalitpur, Bhaisepati,3508.0625,35800000.0,4,3,20.0,North,1,
 Kathmandu, Matatirtha,1369.0,14500000.0,0,0,3.0,West,0,
 Kathmandu, Baluwatar,2053.5,75000000.0,8,9,11.0,South East,3,4.0
 Lalitpur, Sano Gaun,1796.8125,33900000.0,5,4,16.0,South East,1,4.0
 Lalitpur, Imadol,1112.3125,27000000.0,5,4,13.0,South,1,3.0
 Kathmandu, Budhanilkantha,6160.5,115000000.0,5,4,14.0,South West,4,3.0
 Lalitpur, Bhaisepati,1369.0,46500000.0,4,4,13.0,East,2,3.0
 Lalitpur, Balkumari,2395.75,36000000.0,0,2,20.0,North East,2,2.0
 Kathmandu, Mid Baneshwor,4107.0,120000000.0,0,0,24.0,West,0,2.0
 Lalitpur, Bhaisepati,6160.5,210000000.0,6,4,22.0,East,0,3.0
 Kathmandu, Balkhu,2738.0,72500000.0,6,5,20.0,South,3,3.0
 Lalitpur, Imadol,1026.75,23500000.0,5,3,13.0,East,1,3.0
 Kathmandu, Chapali,5476.0,150000.0,5,4,13.0,East,4,3.0
 Kathmandu, Bafal,3016.078125,58000000.0,6,3,0.0,East,3,2.0
 Kathmandu, Dhapasi,1197.875,31000000.0,0,0,12.0,North,1,3.0
 Kathmandu, Baneshwor,1796.8125,32000000.0,0,2,20.0,East,0,3.0
 Lalitpur, Bhaisepati,1197.875,37500000.0,4,4,20.0,North East,1,4.0
 Kathmandu, Kadaghari,1197.875,27000000.0,6,3,13.0,North,1,3.0
 Lalitpur, Bhaisepati,1197.875,35000000.0,4,4,20.0,East,1,3.0
 Kathmandu, Budhanilkantha,2823.5625,77500000.0,5,5,20.0,East,3,3.0
 Kathmandu, Budhanilkantha,1796.8125,50000000.0,4,5,14.0,East,2,3.0
 Lalitpur, Imadol,1026.75,16000000.0,2,1,13.0,South West,2,1.0
 Kathmandu, Dakshinkali,1796.8125,30000000.0,0,0,0.0,East,1,2.0
 Kathmandu, Budhanilkantha,1625.6875,45000000.0,5,4,13.0,South,1,3.0
 Kathmandu, Budhanilkantha,1711.25,45000000.0,6,4,13.0,East,2,3.0
 Kathmandu, Budhanilkantha,1540.125,45000000.0,3,4,20.0,South West,2,3.0
 Kathmandu, Tokha,1411.78125,41000000.0,5,4,20.0,South East,1,3.0
 Lalitpur, Bhaisepati,1197.875,38000000.0,4,4,13.0,East,1,3.0
 Kathmandu, Tokha,1369.0,37500000.0,6,4,13.0,East,1,3.0
 Kathmandu, Mulpani,960.0,16000000.0,0,3,12.0,East,1,3.0
 Kathmandu, Budhanilkantha,2053.5,59500000.0,5,5,13.0,South,3,3.0
 Kathmandu, Budhanilkantha,1711.25,42500000.0,5,4,13.0,South East,1,3.0
 Kathmandu, Hattigauda,1882.375,45000000.0,5,4,13.0,East,1,3.0
 Kathmandu, Dhapasi,5476.0,135000000.0,6,7,13.0,East,3,3.0
 Lalitpur, Hattiban,1540.125,46000000.0,4,4,13.0,East,1,3.0
 Kathmandu, Dhapasi,1112.3125,23000000.0,4,3,13.0,North East,1,3.0
 Kathmandu, Kirtipur,1711.25,24000000.0,2,2,22.967,South West,2,1.0
 Lalitpur, Bhaisepati,2909.125,150000000.0,6,7,13.0,East,2,3.0
 Kathmandu, Budhanilkantha,770.0625,135000000.0,6,6,20.0,East,6,3.0
 Kathmandu, Budhanilkantha,1283.4375,42500000.0,5,5,16.0,South East,1,2.0
 Lalitpur, Bhaisepati,1882.375,53000000.0,4,4,13.0,South,2,2.0
 Lalitpur, Hattiban,2053.5,45000000.0,5,5,16.0,North,3,2.5
 Bhaktapur, Changunarayan,1283.4375,21000000.0,10,3,10.0,East,2,3.0
 Lalitpur, Godawari,1369.0,17500000.0,7,4,20.0,East,1,3.0
 Kathmandu, Buddhanagar,2117.671875,80000000.0,0,0,14.0,East,0,3.5
 Kathmandu, Bishal Nagar,8214.0,148800000.0,3,3,14.0,South,4,
 Kathmandu, Sukedhara,2395.75,70000000.0,4,3,16.0,East,3,
 Kathmandu, Maitidevi,3764.75,67500000.0,0,4,14.0,South,0,
 Lalitpur, Imadol,1112.3125,20500000.0,4,4,13.0,North,9,3.0
 Kathmandu, Kalanki,4791.5,105000000.0,0,0,22.0,South,0,
 Kathmandu, Baluwatar,427.8125,11200000.0,2,2,13.0,West,0,
 Kathmandu, Thankot,1711.25,27600000.0,4,3,20.0,East,4,3.0
 Lalitpur, Imadol,1197.875,31500000.0,4,4,13.0,North,1,3.0
 Lalitpur, Imadol,1026.75,23500000.0,4,4,13.0,North,1,3.0
 Kathmandu, Kapan,2053.5,29500000.0,6,3,8.0,East,0,3.0
 Kathmandu, Gaurighat,1967.9375,45000000.0,0,0,13.0,East,0,2.5
 Kathmandu, Hattigauda,2224.625,36500000.0,5,3,13.0,North East,3,3.0
 Kathmandu, Hattigauda,2053.5,37500000.0,0,3,16.0,East,0,
 Kathmandu, Kapan,2053.5,31000000.0,0,3,0.0,North,0,
 Kathmandu, Sanobharyang,1796.8125,22000000.0,8,2,14.0,East,2,2.0
 Kathmandu, Bafal,1369.0,28500000.0,5,3,13.0,South West,3,2.0
 Kathmandu, Shantinagar,1197.875,45000000.0,0,0,14.0,East,2,3.5
 Lalitpur, Khumaltar,1219.265625,36500000.0,3,4,13.0,East,2,
 Kathmandu, Tarkeshwor,1497.34375,18500000.0,6,3,10.0,South,2,
 Kathmandu, Tarkeshwor,1197.875,36000000.0,6,4,13.0,North West,3,3.0
 Kathmandu, Thulo Bharyang,1197.875,32500000.0,5,4,13.0,South,3,3.0
 Kathmandu, Halchowk ,1026.75,26000000.0,4,0,13.0,East,2,2.0
 Kathmandu, Thulo Bharyang,1026.75,28000000.0,4,32,13.0,East,3,2.0
 Kathmandu, Grande Villa,1668.46875,39000000.0,4,3,16.0,North,2,2.0
 Lalitpur, Nakhipot,1026.75,29000000.0,4,4,19.0,South,1,3.0
 Lalitpur, Jawalakhel,4107.0,95000000.0,4,3,26.0,North West,2,3.0
 Lalitpur, Sanepa,3080.25,80000000.0,4,2,15.0,East,0,
 Lalitpur, Thecho,3336.9375,79500000.0,5,5,13.0,South,2,3.0
 Lalitpur, Gwarko,1796.8125,35500000.0,6,5,14.0,South,12,3.0
 Kathmandu, Tokha,1369.0,23000000.0,0,3,14.0,West,2,
 Lalitpur, Mahalaxmi Nagarpalika,1882.375,37500000.0,5,4,15.0,West,2,3.0
 Kathmandu, Budhanilkantha,5818.25,95000000.0,0,0,20.0,East,0,3.0
 Kathmandu, Budhanilkantha,11636.5,130000000.0,4,4,45.934000000000005,South East,0,3.0
 Kathmandu, Baluwatar,427.8125,11000000.0,2,2,14.0,West,0,
 Kathmandu, Dhumbarahi,2053.5,65000000.0,5,4,20.0,East,1,3.0
 Kathmandu, Kapan,1369.0,26500000.0,4,3,10.0,East,1,
 Kathmandu, Halchowk ,1026.75,31000000.0,0,4,10.0,West,1,
 Kathmandu, Ason,342.25,38000000.0,4,4,5.0,East,0,6.0
 Lalitpur, Dhapakhel,1711.25,28000000.0,6,3,13.0,East,2,3.0
 Bhaktapur, Duwakot,1369.0,20000000.0,5,3,33.0,North East,1,3.0
 Kathmandu, Sukedhara,0.0,19500000.0,2,1,13.0,West,1,1.0
 Lalitpur, Mahalaxmisthan,1369.0,26500000.0,4,4,13.0,North West,2,3.0
 Lalitpur, Imadol,3080.25,33500000.0,1,1,13.0,South,4,1.0
 Kathmandu, Dhapasi,10952.0,176000000.0,0,0,20.0,North West,0,
 Kathmandu, Sitapaila,1369.0,25000000.0,0,3,13.0,North,1,
 Kathmandu, Pepsicola,1454.5625,27500000.0,0,3,10.0,East,1,3.0
 Kathmandu, Kalanki,1112.3125,19800000.0,0,3,12.0,East,1,2.0
 Kathmandu, Machha Pokhari,1369.0,20000007.0,0,4,13.0,East,1,2.0
 Bhaktapur, Bhaktapur,1026.75,20000000.0,4,3,20.0,South East,1,3.0
 Kathmandu, Gaushala,1711.25,45000000.0,6,7,20.0,South East,1,
 Kathmandu, Dhapasi,2738.0,72500000.0,1,4,20.0,South East,4,
 Lalitpur, Hattiban,2053.5,35500000.0,0,3,14.0,East,3,
 Kathmandu, Chabahil,3422.5,70000000.0,10,6,32.81,North West,3,4.0
 Kathmandu, Sitapaila,1369.0,35500000.0,6,4,12.0,East,2,3.0
 Kathmandu, Sitapaila,1240.65625,23500000.0,7,3,13.0,East,3,2.0
 Lalitpur, Khumaltar,1219.265625,40000000.0,3,4,0.0,East,1,
 Kathmandu, Tokha,1112.3125,26000000.0,3,4,13.0,South West,1,3.0
 Kathmandu, Chandol,3251.375,112400000.0,4,4,20.0,South East,3,
 Lalitpur, Imadol,1347.609375,27000000.0,2,3,13.0,North East,1,3.0
 Kathmandu, Budhanilkantha,2395.75,65500000.0,0,0,14.0,South,2,
 Kathmandu, Kapan,1133.703125,17500000.0,7,5,0.0,West,0,4.0
 Kathmandu, Lazimpat,962.578125,55000000.0,0,0,0.0,North,0,
 Kathmandu, Panipokhari,2600.0,67500000.0,0,0,20.0,North,0,
 Kathmandu, Chandol,3251.375,112500000.0,4,4,20.0,East,0,3.0
 Kathmandu, Kalanki,1240.65625,50000000.0,0,0,22.0,West,0,
 Lalitpur, Hattiban,2673.828125,57500000.0,5,5,24.0,West,2,3.0
 Kathmandu, Old Baneshwor,7508.109375,150000000.0,5,4,14.0,West,7,
 Lalitpur, Lamatar,1369.0,15500000.0,3,2,20.0,West,0,
 Kathmandu, Budhanilkantha,2866.34375,55000000.0,4,4,13.0,West,0,
 Kathmandu, Budhanilkantha,3080.25,70000000.0,3,4,0.0,North,0,
 Kathmandu, Baneshwor,2759.390625,85000000.0,0,0,10.0,South,0,
 Kathmandu, Budhanilkantha,2738.0,67500000.0,6,0,0.0,South,0,
 Kathmandu, Budhanilkantha,2310.1875,68500000.0,5,4,20.0,East,2,
 Kathmandu, Dallu,1369.0,45000000.0,0,0,13.0,South,0,2.0
 Kathmandu, Goldhunga,1711.25,29900000.0,8,4,10.0,West,1,4.0
 Kathmandu, Gokarneshwor,855.625,14300000.0,3,3,12.0,South,0,
 Kathmandu, Sanobharyang,1197.875,29000000.0,4,3,14.0,South East,2,
 Kathmandu, Ranibari,1454.5625,36000000.0,0,0,12.0,South,0,3.0
 Bhaktapur, Changunarayan,1048.140625,18000000.0,5,3,13.0,South East,1,3.0
 Kathmandu, Gaushala,1048.140625,260312500.0,0,8,22.0,North West,1,8.0
 Kathmandu, Mid Baneshwor,1732.640625,65000000.0,9,3,26.0,South East,2,4.0
 Kathmandu, Mulpani,1433.171875,30000000.0,0,0,23.0,South East,0,3.0
 Kathmandu, Minbhawan,2738.0,80000000.0,12,4,18.0,East,3,4.0
 Kathmandu, Raniban,1711.25,47500000.0,5,5,13.0,South,2,3.0
 Kathmandu, Raniban,1026.75,30000000.0,3,3,13.0,West,1,2.0
 Kathmandu, Raniban,1369.0,28500000.0,0,0,18.0,West,0,3.0
 Lalitpur, Bhaisepati,1283.4375,30000000.0,4,3,13.0,West,1,3.0
 Kathmandu, Sanobharyang,1454.5625,36000000.0,7,3,16.0,West,1,3.0
 Lalitpur, Hattiban,7443.9375,25600000.0,4,4,11.0,East,1,2.0
 Kathmandu, Koteshwor,1369.0,30000000.0,6,3,15.0,North,2,3.0
 Kathmandu, Budhanilkantha,1433.171875,28000000.0,5,3,13.0,North West,0,3.0
 Kathmandu, Chandragiri,1711.25,26500000.0,6,3,10.0,West,4,
 Kathmandu, Budhanilkantha,5818.25,95093750.0,7,5,16.0,South,8,3.0
 Kathmandu, Bafal,1711.25,35000000.0,6,3,12.0,West,2,
 Kathmandu, Kalanki,1796.8125,52500000.0,0,0,196.86,West,0,4.0
 Lalitpur, Gwarko,4107.0,60000000.0,3,6,13.0,East,6,3.0
 Kathmandu, Kapan,1369.0,22000000.0,3,3,8.0,East,2,3.0
 Kathmandu, Basundhara,1882.375,32500000.0,6,3,15.0,South,2,2.5
 Kathmandu, Bhangal,1711.25,35000000.0,0,0,14.0,South,3,3.0
 Lalitpur, Sunakothi,1369.0,35000000.0,3,3,18.0,East,1,2.0
 Kathmandu, Jorpati,1026.75,22500000.0,4,3,14.0,North West,2,3.0
 Kathmandu, Mandikatar,1711.25,35000000.0,5,4,13.0,East,0,2.0
 Kathmandu, Budhanilkantha,2053.5,47000000.0,4,3,12.0,South,2,
 Lalitpur, Tikathali,1112.3125,19500000.0,5,3,13.0,North,1,3.0
 Kathmandu, Dhapasi,3422.5,61000000.0,4,3,12.0,East,3,3.0
 Kathmandu, Jorpati,1369.0,23000000.0,7,4,10.0,East,1,3.0
 Kathmandu, Budhanilkantha,2310.1875,66500000.0,0,0,20.0,East,3,3.0
 Kathmandu, Chapali,4877.0625,69000000.0,3,3,20.0,South,0,2.0
 Kathmandu, Chundevi,2053.5,72500000.0,8,9,14.0,South East,4,4.0
 Kathmandu, Narephate,1369.0,31500000.0,5,4,14.0,West,1,3.0
 Kathmandu, Sitapaila,1112.3125,15500000.0,0,3,13.0,South,0,3.0
 Kathmandu, Pepsicola,1197.875,23000000.0,5,5,11.0,North East,2,3.0
 Kathmandu, Koteshwor,1155.09375,29500000.0,5,3,26.0,North,2,3.0
 Kathmandu, Budhanilkantha,1540.125,32500000.0,5,4,14.0,West,2,3.0
 Lalitpur, Harisiddhi,1197.875,22000000.0,5,3,13.0,South,5,3.0
 Kathmandu, Anamnagar,4192.5625,95500000.0,0,3,13.0,West,4,3.0
 Kathmandu, Thankot,1369.0,22000000.0,0,0,0.0,East,0,
 Kathmandu, Basundhara,2139.0625,35000000.0,2,1,12.0,East,1,2.0
 Kathmandu, Budhanilkantha,7871.75,125000000.0,5,6,14.0,North,5,3.0
 Kathmandu, Budhanilkantha,3422.5,70000000.0,5,5,14.0,North,4,3.0
 Kathmandu, Kapan,1390.390625,28000000.0,6,3,13.0,North,2,3.0
 Kathmandu, Budhanilkantha,2395.75,57000000.0,4,4,13.0,South West,2,3.0
 Kathmandu, Minbhawan,1711.25,39000000.0,4,4,13.0,South West,1,3.0
 Kathmandu, Bohoratar,3422.5,48500000.0,4,4,13.0,West,6,2.0
 Kathmandu, Sitapaila,1283.4375,18500000.0,3,3,10.0,South,1,2.0
 Lalitpur, Godawari,1540.125,21000000.0,6,3,18.0,South East,2,2.0
 Lalitpur, Jharuwarashi,1647.078125,13000000.0,3,2,12.0,East,0,3.0
 Lalitpur, Imadol,855.625,20500000.0,4,3,13.0,North East,1,3.0
 Lalitpur, Imadol,1197.875,26000000.0,4,4,13.0,East,1,3.0
 Kathmandu, Balambu,1026.75,170.0,6,3,16.0,East,1,3.0
 Kathmandu, Gokarneshwor,1711.25,26000000.0,11,3,12.0,South East,2,3.0
 Kathmandu, Koteshwor,1155.09375,29500000.0,0,0,26.0,East,0,
 Kathmandu, Balaju,1796.8125,26000000.0,4,3,13.0,East,3,2.0
 Lalitpur, Imadol,1197.875,22500000.0,4,4,13.0,South,1,3.0
 Kathmandu, Budhanilkantha,2738.0,45000000.0,4,4,20.0,South,1,3.0
 Kathmandu, Budhanilkantha,2395.75,525000000.0,5,5,22.0,East,3,3.0
 Kathmandu, Budhanilkantha,3080.25,55000000.0,4,5,18.0,North,2,3.0
 Kathmandu, khahare,1796.8125,27000000.0,6,6,14.0,North West,2,3.0
 Kathmandu, Guheshwori,1026.75,15500000.0,0,0,10.0,East,0,3.0
 Lalitpur, Nakhipot,1369.0,28500000.0,5,5,22.0,South,5,3.0
 Kathmandu, Kadaghari,1112.3125,13000000.0,6,2,8.0,West,0,2.0
 Kathmandu, Budhanilkantha,1369.0,35000000.0,4,3,14.0,North,1,3.0
 Kathmandu, Balaju,3422.5,48500000.0,4,4,14.0,East,4,3.0
 Kathmandu, Baniyatar,1711.25,25000000.0,7,5,11.0,South,1,3.0
 Kathmandu, Budhanilkantha,2738.0,42000000.0,0,3,20.0,South East,3,
 Kathmandu, Budhanilkantha,2909.125,55000000.0,4,4,13.0,North East,1,2.0
 Lalitpur, Dhapakhel,1026.75,18000000.0,0,0,12.0,South East,1,2.0
 Lalitpur, Thaiba,4107.0,27000000.0,15,7,13.0,West,1,2.0
 Kathmandu, Syuchatar,7786.1875,26500000.0,7,0,13.0,North,2,
 Kathmandu, Syuchatar,1026.75,24800000.0,5,4,13.0,South,1,3.0
 Kathmandu, Budhanilkantha,2139.0625,37500000.0,0,3,15.0,South,2,3.0
 Kathmandu, Baluwatar,3251.375,70000000.0,0,0,18.0,South,0,
 Kathmandu, Pepsicola,2566.875,86000000.0,0,6,26.248,South West,6,5.0
 Kathmandu, Chandragiri,1026.75,170.0,6,3,16.0,East,1,3.0
 Kathmandu, Budhanilkantha,1112.3125,16000000.0,2,1,13.0,North,1,
 Kathmandu, Goldhunga,1197.875,17800000.0,9,3,13.0,East,1,3.0
 Kathmandu, Swayambhu,2053.5,50000000.0,5,3,13.0,South,1,2.0
 Kathmandu, Basantapur,342.25,22500000.0,3,4,10.0,South East,1,6.0
 Bhaktapur, Sirutar,1711.25,26000000.0,3,3,13.0,South West,2,2.0
 Kathmandu, Panipokhari,7615.0625,70000000.0,4,0,0.0,North,0,
 Kathmandu, Baniyatar,1796.8125,35000000.0,0,0,20.0,East,1,3.0
 Kathmandu, Boudha,2481.3125,45000000.0,0,2,0.0,East,1,
 Kathmandu, Gongabu,7101.6875,90000000.0,0,0,12.0,East,0,
 Kathmandu, Koteshwor,1540.125,25000000.0,0,4,13.0,East,0,4.0
 Kathmandu, Satungal,1197.875,18900000.0,0,0,0.0,West,0,
 Kathmandu, Jorpati,1369.0,16500000.0,0,0,13.0,East,0,
 Kathmandu, Dhumbarahi,2481.3125,51700000.0,0,0,0.0,East,0,
 Kathmandu, Gothatar,1026.75,19000000.0,0,0,13.0,East,0,
 Kathmandu, Matatirtha,1026.75,13500000.0,0,0,22.0,East,0,
 Kathmandu, Kapan,1732.640625,29500000.0,7,3,13.0,South,2,3.0
 Kathmandu, Makalbari,1026.75,9500000.0,0,0,12.0,East,0,
 Lalitpur, Nakhipot,2738.0,65000000.0,5,5,0.0,East,2,
 Kathmandu, Kalanki,1540.125,28500000.0,0,0,16.0,East,0,
 Kathmandu, Kadaghari,1369.0,23500000.0,0,0,20.0,East,0,
 Kathmandu, Gothatar,1026.75,18000000.0,0,0,14.0,West,0,
 Kathmandu, Budhanilkantha,1369.0,37500000.0,6,5,13.0,North,2,3.0
 Kathmandu, Budhanilkantha,1369.0,33500000.0,6,5,13.0,North,2,3.0
 Kathmandu, Bansbari,4107.0,81600000.0,4,4,13.0,North East,1,3.0
 Lalitpur, Tikathali,1283.4375,14500000.0,0,0,13.0,East,0,
 Kathmandu, Shantinagar,2053.5,39000000.0,0,0,0.0,East,0,
 Bhaktapur, Balkot,1369.0,21500000.0,0,0,13.0,East,0,
 Kathmandu, Baluwatar,1882.375,39000000.0,0,0,10.0,North East,0,
 Kathmandu, Pepsicola,855.625,16500000.0,0,0,0.0,West,0,
 Kathmandu, Dharmasthali,1454.5625,15500000.0,0,0,10.0,West,0,
 Kathmandu, Balambu,1026.75,10500000.0,0,0,0.0,West,0,
 Kathmandu, Gothatar,1112.3125,15800000.0,2,1,13.0,East,1,2.0
 Kathmandu, Makalbari,1026.75,12500000.0,0,0,12.0,South,0,
 Kathmandu, Kadaghari,1369.0,23500000.0,0,0,13.0,South,0,
 Kathmandu, Mulpani,855.625,9500000.0,0,0,13.0,North,0,
 Kathmandu, Naikap,1112.3125,21000000.0,0,0,13.0,East,0,
 Bhaktapur, Bhaktapur,1369.0,11000000.0,0,0,10.0,East,0,
 Kathmandu, Thali,1369.0,13000000.0,0,0,0.0,West,0,
 Kathmandu, Baluwatar,2224.625,65000000.0,5,5,20.0,West,2,3.0
 Kathmandu, Baluwatar,2738.0,56000000.0,4,4,13.0,North,2,3.0
 Bhaktapur, Balkot,1369.0,21500000.0,0,0,13.0,West,0,
 Bhaktapur, Sudal,1197.875,9200000.0,0,0,12.0,West,0,
 Kathmandu, Chandol,3080.25,90000000.0,0,0,26.0,East,0,
